Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,New Zealand,NZL,..,..,..,..,..,27.2952404022217,27.6676692962646,29.9933795928955,32.104190826416,33.800537109375,34.6078300476074,35.555419921875,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,Norway,NOR,0.350603252649307,0.356341928243637,0.360231518745422,0.338750541210175,0.420452296733856,29.6942691802979,30.800630569458,31.7065391540527,32.6765213012695,35.4966850280762,34.3511581420898,38.6748046875,34.4795722961426,37.0830993652344,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,India,IND,..,..,6.72489976882935,..,..,..,..,7.28427982330322,..,7.78669023513794,9.24438953399658,9.88014030456543,..,9.7648401260376,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,New Zealand,NZL,..,..,..,..,..,24.9002094268799,23.9107303619385,26.0187892913818,27.3771266937256,28.747091293335,28.5890045166016,28.8490200042725,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,Norway,NOR,0.803964555263519,1.02100241184235,0.992724239826202,0.866942465305328,0.873536229133606,21.6680107116699,22.3949203491211,22.840950012207,23.3605308532715,24.7488956451416,24.1572494506836,25.8043880462646,26.1300392150879,25.2907695770264,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,India,IND,..,..,11.4853000640869,..,..,..,..,13.0686302185059,..,13.7286596298218,14.9449796676636,14.6189098358154,..,14.5490703582764,..
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,New Zealand,NZL,..,..,..,..,..,79.1587524414062,79.1648788452148,79.6281967163086,81.1265258789062,82.4127655029297,81.5385589599609,81.804069519043,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,Norway,NOR,99.7052230834961,99.7080688476562,99.6458282470703,99.7035751342773,99.7205657958984,99.3264923095703,99.3405380249023,99.3387832641602,99.3442611694336,99.1738357543945,99.283561706543,98.8671417236328,95.6240463256836,98.5050964355469,..
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,India,IND,..,..,47.1306381225586,..,..,..,..,52.9692192077637,..,55.698429107666,56.5702209472656,58.7624015808105,..,58.6634292602539,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,New Zealand,NZL,..,..,..,..,..,79.6078567504883,78.4057464599609,79.2140121459961,80.8084487915039,82.0889739990234,81.5388946533203,81.919792175293,..,..,..
